Country,Countrycode3,Countrycode2,Year,Population,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Source_Comments,Region,Region_sub,Currency,Reference_Period,Welfaredefn,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,EU,OECD,Year_cat,Welfaredefn_new,Equivsc_new,AgeCovr_new,AreaCovr_new,PopCovr_new,IncSharU_new,UofAnala_new,Exchangerate,Mean_usd,Median_usd
Lithuania,LTU,LT,1995,3.628079,High income: non-OECD,,,33.3,Transmonee 1999,,,,,,,,,,,,,,,,,,,Average,CSO-HBS,Europe,Northern Europe,,,"Income, net",Household,Person,Per capita,All,All excl farmers,All,EU,Non-OECD,1990-1999,"Income, disposable",Household per capita,All,All,Employed+Others,Household,Person,,,
Lithuania,LTU,LT,1995,3.628079,High income: non-OECD,,,37.4,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,1990-1999,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,1996,3.602164,High income: non-OECD,,,35,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,1990-1999,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,1996,3.602164,High income: non-OECD,3988.8,,34.7,Transmonee 2011,2.06,4.59,5.76,6.81,7.8,8.96,10.37,12.27,15.23,26.16,6.65,12.57,16.76,22.63,41.39,,,New 2013,Average,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,"All, excluding farmers",All,EU,Non-OECD,1990-1999,"Income, disposable",Household per capita,All,All,Employed+Others,Household,Person,13.8079996109009,288.880004882812,
Lithuania,LTU,LT,1996,3.602164,High income: non-OECD,3673.2,3099.12,32.26,World Bank 2016,3.17,4.61,5.79,6.86,7.9,9.01,10.3,12,14.78,25.58,7.78,12.65,16.91,22.3,40.36,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,1996,3.602164,High income: non-OECD,3760.8,,35.7,"World Bank Poverty during the Transition website 9/2000, Milanovic",,,,,,,,,,,,,,,,,,,Low,Household Budget Survey,Europe,Northern Europe,Lits,Month,Income,Household,Person,Per capita,All,"All, excluding farmers",All,EU,Non-OECD,1990-1999,Other,Household per capita,All,All,Employed+Others,Household,Person,13.8079996109009,272.359985351562,
Lithuania,LTU,LT,1997,3.574014,High income: non-OECD,5061.6,,33.7,"Deininger & Squire, World Bank 2004",,,,,,,,,,,,,,,,,,,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,Consumption,Household per capita,All,All,All,Household,Person,13.8079996109009,366.570007324219,
Lithuania,LTU,LT,1997,3.574014,High income: non-OECD,,,34.5,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,1990-1999,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,1997,3.574014,High income: non-OECD,4536,,30.9,Transmonee 2011,2.42,4.91,6.04,7.07,8.01,9.04,10.34,12.1,14.73,25.33,7.33,13.11,17.05,22.44,40.06,,,New 2013,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,13.8079996109009,328.510009765625,
Lithuania,LTU,LT,1998,3.544668,High income: non-OECD,,,35.7,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,1990-1999,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,1998,3.544668,High income: non-OECD,5068.8,,33.2,Transmonee 2004,2.23,4.71,5.94,6.98,8.02,9.17,10.52,12.28,15.06,25.08,6.94,12.92,17.19,22.8,40.14,,,,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,13.8079996109009,367.089996337891,
Lithuania,LTU,LT,1998,3.544668,High income: non-OECD,3910.08,3274.8,32.1,World Bank 2016,3.15,4.66,5.81,6.88,7.87,8.98,10.35,12.11,15.02,25.18,7.81,12.69,16.85,22.46,40.2,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,1999,3.515218,High income: non-OECD,,,36.8,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,1990-1999,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,1999,3.515218,High income: non-OECD,5136,,34.3,Transmonee 2004,2.16,4.68,6,7.03,8.1,9.22,10.47,12.17,15.11,25.05,6.85,13.03,17.32,22.65,40.16,,,,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,"Income, disposable",Household per capita,All,All,All,Household,Person,13.8079996109009,371.959991455078,
Lithuania,LTU,LT,1999,3.515218,High income: non-OECD,3859.92,3245.52,32.02,World Bank 2016,3.12,4.75,5.87,6.84,7.85,9.03,10.37,12.09,14.84,25.25,7.87,12.71,16.88,22.46,40.09,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,1990-1999,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2000,3.486373,High income: non-OECD,4984.8,,35.5,Transmonee 2004,1.99,4.39,5.68,6.79,7.91,9.08,10.41,12.25,15.2,26.32,6.37,12.47,16.99,22.66,41.52,,,,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,13.8079996109009,361.010009765625,
Lithuania,LTU,LT,2000,3.486373,High income: non-OECD,3636.48,3088.44,31.67,World Bank 2016,3.16,4.69,5.82,6.88,7.96,9.09,10.47,12.21,15.02,24.7,7.85,12.7,17.05,22.68,39.72,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2001,3.458923,High income: non-OECD,,,38.2,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,2000-2009,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,2001,3.458923,High income: non-OECD,4912.8,,35.4,Transmonee 2011,1.95,4.36,5.6,6.83,8,9.19,10.5,12.34,15.2,26.03,6.31,12.43,17.19,22.84,41.23,,,New 2013,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,13.8079996109009,355.790008544922,
Lithuania,LTU,LT,2001,3.458923,High income: non-OECD,3619.32,3031.56,32.01,World Bank 2016,3.1,4.67,5.79,6.86,7.84,9.04,10.44,12.31,15.07,24.87,7.77,12.65,16.88,22.75,39.94,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2002,3.432663,High income: non-OECD,,,39,Transmonee 2004,,,,,,,,,,,,,,,,,,,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,2000-2009,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,2002,3.432663,High income: non-OECD,5064,,35.7,Transmonee 2011,1.85,4.5,5.77,6.95,8.07,9.2,10.59,12.4,15.35,25.33,6.34,12.72,17.27,22.99,40.67,,,New 2013,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,3.67695833333333,1377.22998046875,
Lithuania,LTU,LT,2002,3.432663,High income: non-OECD,3614.88,3052.68,31.92,World Bank 2016,3.14,4.68,5.81,6.83,7.88,9.06,10.44,12.23,15.05,24.87,7.82,12.64,16.94,22.67,39.92,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2003,3.40603,High income: non-OECD,,,39.3,Transmonee 2005,,,,,,,,,,,,,,,,,,New 2007,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,2000-2009,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,2003,3.40603,High income: non-OECD,5491.2,,31.8,Transmonee 2005,2.26,4.82,6.09,7.12,8.09,9.14,10.42,12.01,14.8,25.26,7.08,13.21,17.22,22.43,40.06,,,New 2007,High,Household Budget Survey,Europe,Northern Europe,Lits,Month,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,3.06086666666667,1794,
Lithuania,LTU,LT,2003,3.40603,High income: non-OECD,4977.12,3965.04,35.46,World Bank 2016,2.93,4.31,5.35,6.36,7.41,8.58,9.97,11.94,15.21,27.94,7.24,11.71,15.99,21.91,43.15,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2004,3.376761,High income: non-OECD,,,39.4,Transmonee 2007,,,,,,,,,,,,,,,,,,New 2008,Average,Survey on Earnings Distribution,Europe,Northern Europe,,,"Earnings, gross",Person,Person,No adjustment,All,"Employed, excluding self-employed",All,EU,Non-OECD,2000-2009,"Income, gross",Without adjustment,All,All,Employed+Others,Person,Person,,,
Lithuania,LTU,LT,2004,3.376761,High income: non-OECD,,,30.9,Transmonee 2007,,,,,,,,,,,,,,,,,,New 2008,High,Household Budget Survey,Europe,Northern Europe,,,"Income, net",Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household per capita,All,All,All,Household,Person,,,
Lithuania,LTU,LT,2004,3.376761,High income: non-OECD,5158.08,4163.76,35.2,World Bank 2016,2.83,4.32,5.4,6.44,7.48,8.66,10,12.08,15.4,27.39,7.15,11.84,16.14,22.08,42.79,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2004,3.376761,High income: non-OECD,4493.28,3653.88,37.02,World Bank 2016,1.97,3.86,5.33,6.59,7.64,8.72,10.1,12.11,15.81,27.88,5.83,11.92,16.36,22.21,43.69,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2005,3.343268,High income: non-OECD,2554,2058,36.3,Eurostat,2.2,4,5.4,6.4,7.5,8.6,10.4,12.4,15.9,27.2,6.2,11.8,16.1,22.8,43.1,0.7,16.7,,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.80412,3176.13989257812,2559.32006835937
Lithuania,LTU,LT,2005,3.343268,High income: non-OECD,5205.48,4283.28,35.3,World Bank 2016,2.18,4.22,5.66,6.83,7.75,8.73,10.08,11.92,15.47,27.16,6.4,12.49,16.48,22,42.63,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2006,3.305529,High income: non-OECD,3062,2534,35,Eurostat 2016,2.3,4.3,5.5,6.6,7.7,8.9,10.2,12.4,15.6,26.5,6.6,12.1,16.6,22.6,42.1,0.7,16.2,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.797140833,3841.22998046875,3178.86010742188
Lithuania,LTU,LT,2006,3.305529,High income: non-OECD,6480.72,5310.6,34.44,World Bank 2016,2.33,4.57,5.78,6.75,7.69,8.81,10.14,11.95,15.19,26.79,6.9,12.53,16.5,22.09,41.98,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2007,3.264304,High income: non-OECD,3938,3276,33.8,Eurostat 2016,2.5,4.4,5.7,6.7,7.7,9,10.4,12.3,15.5,25.7,7,12.4,16.7,22.7,41.2,0.8,15.8,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.7306375,5389.81005859375,4483.759765625
Lithuania,LTU,LT,2007,3.264304,High income: non-OECD,7659.36,6270,34.59,World Bank 2016,2.41,4.44,5.73,6.75,7.62,8.83,10.31,12.05,15.09,26.77,6.85,12.48,16.45,22.36,41.86,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2008,3.219802,High income: non-OECD,4902,4111,34.5,Eurostat 2016,2.5,4.3,5.5,6.6,7.8,9,10.4,12,15.6,26.2,6.8,12,16.8,22.4,41.8,0.8,16.5,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.682674711,7180.580078125,6021.89990234375
Lithuania,LTU,LT,2008,3.219802,High income: non-OECD,6660.84,5201.16,37.06,World Bank 2016,2.7,4.14,5.13,6.11,7.25,8.48,10.01,12.03,15.21,28.95,6.84,11.24,15.73,22.04,44.16,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Consumption,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Consumption,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2008,3.219802,High income: non-OECD,8231.28,6728.52,35.77,World Bank 2016,2.24,4.35,5.62,6.57,7.56,8.69,10.09,12.02,15.21,27.65,6.59,12.19,16.25,22.11,42.86,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2009,3.172436,High income: non-OECD,5843,4715,35.9,Eurostat 2016,2.4,4.3,5.4,6.4,7.5,8.8,10.3,12.3,15.3,27.4,6.7,11.8,16.2,22.6,42.7,0.7,17.6,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2000-2009,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.71984336,8117.0400390625,6550.0400390625
Lithuania,LTU,LT,2009,3.172436,High income: non-OECD,6811.8,5559.84,37.38,World Bank 2016,1.74,3.86,5.26,6.49,7.6,8.82,10.34,12.39,15.84,27.65,5.6,11.75,16.42,22.73,43.49,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2000-2009,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2010,3.122835,High income: non-OECD,4975,4030,37,Eurostat 2016,1.9,4,5.4,6.4,7.6,8.6,10.2,12.5,16.1,27.4,5.9,11.8,16.1,22.6,43.5,0.5,17.2,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.755044952,6589.009765625,5337.43017578125
Lithuania,LTU,LT,2010,3.122835,High income: non-OECD,6127.92,5368.2,33.76,World Bank 2016,2.18,4.22,5.59,6.86,8.15,9.42,10.7,12.54,15.52,24.83,6.4,12.45,17.57,23.24,40.35,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2010-2015,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2011,3.070593,High income: non-OECD,4503,3857,33,Eurostat 2016,2.3,4.5,5.8,6.7,8,9.2,10.8,12.6,15.7,24.4,6.9,12.5,17.2,23.4,40.1,0.7,14.6,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.719355254,6259.77001953125,5361.75
Lithuania,LTU,LT,2011,3.070593,High income: non-OECD,6701.28,5741.4,32.63,World Bank 2016,2.55,4.47,5.81,6.97,8.06,9.18,10.58,12.4,15.39,24.57,7.02,12.78,17.24,22.98,39.96,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2010-2015,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2012,3.016496,High income: non-OECD,5124,4337,32,Eurostat 2016,2.7,4.7,5.7,6.9,7.8,9.3,10.8,12.6,15.6,23.9,7.4,12.6,17.1,23.4,39.5,0.9,14.2,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.778293601,6583.6298828125,5572.4501953125
Lithuania,LTU,LT,2012,3.016496,High income: non-OECD,7223.76,5922.24,35.15,World Bank 2016,2.33,4.18,5.52,6.72,7.7,8.92,10.34,12.28,15.18,26.84,6.51,12.24,16.62,22.62,42.02,,,New 2017,Average,PovcalNet,Europe,Northern Europe,US$2011PPP,Year,Income,Household,Person,Per capita,All,All,All,EU,Non-OECD,2010-2015,Other,Household per capita,All,All,All,Household,Person,1,,
Lithuania,LTU,LT,2013,2.96381,High income: non-OECD,5648,4698,34.6,Eurostat 2016,2.6,4.3,5.5,6.5,7.7,8.9,10.5,12.3,15.3,26.4,6.9,12,16.6,22.7,41.7,0.8,16.7,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.7531591826,7499.080078125,6237.72998046875
Lithuania,LTU,LT,2014,2.916798,High income: non-OECD,5975,4823,35,Eurostat 2016,2.5,4.4,5.5,6.5,7.5,8.8,10.3,12.4,15.4,26.7,6.9,12,16.3,22.7,42.1,0.9,16.6,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.753730737,7927.22998046875,6398.83984375
Lithuania,LTU,LT,2015,,High income: non-OECD,6558,5180,37.9,Eurostat 2016,2.2,3.8,5.3,6.1,7.2,8.6,10.4,12.1,15.6,28.8,6,11.3,15.8,22.5,44.4,0.7,19,New 2017,High,,Europe,Northern Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,Non-OECD,2010-2015,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.90130689,7276.10009765625,5747.2099609375
Luxembourg,LUX,LU,1985,0.366884,High income: OECD,,,25.8,"Atkinson, Rainwater and Smeeding 1995b",3.8,5.7,6.6,7.4,8.5,9.5,10.8,12.3,14.9,20.5,9.5,14,18,23.1,35.4,,,,High,Panel Socio-Economique,Europe,Western Europe,,,"Earnings, net",Household,Person,Per capita,All,Households with earnings,All,EU,OECD,1980-1989,"Income, disposable",Household per capita,All,All,Employed+Others,Household,Person,,,
Luxembourg,LUX,LU,1985,0.366884,High income: OECD,518814,475176,23.6,Luxembourg Income Study (LIS) 2016,4.37,5.91,6.88,7.78,8.81,9.42,10.78,12.14,14.3,19.61,10.28,14.66,18.23,22.92,33.91,1.87,11.11,New 2017,High,,Europe,Western Europe,Luxembourg Franc (historic),Year,"Income, net",Household,Person,"Household eq, sqrt (not adult eq)",All,All,All,EU,OECD,1980-1989,"Income, disposable",Other,All,All,All,Household,Person,2395.30852906036,216.600006103516,198.380004882813
Luxembourg,LUX,LU,1985,0.366884,High income: OECD,,,38,Smeeding and Gottschalk 1995,,,,,,,,,,,,,,,,,,,High,Luxembourg Social Economic Panel Study through LIS,Europe,Western Europe,,,Market income,Household,Person,"Household eq, sqrt",All,All,All,EU,OECD,1980-1989,"Income, gross",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1985,0.366884,High income: OECD,,,23.8,Smeeding and Gottschalk 1995,,,,,,,,,,,,,,,,,,,High,Luxembourg Social Economic Panel Study through LIS,Europe,Western Europe,,,"Monetary income, disposable",Household,Person,"Household eq, sqrt",All,All,All,EU,OECD,1980-1989,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1986,0.368662,High income: OECD,15342,13952,24.7,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Europe,Western Europe,,,"Income, net",Household,Person,"Household eq, sqrt",All,All,All,EU,OECD,1980-1989,"Income, disposable",Household adult equiv,All,All,All,Household,Person,1802.06512514973,,7.73999977111816
Luxembourg,LUX,LU,1986,0.368662,High income: OECD,,,16.6,Statistical Yearbook 1997,,,,,,,,,,,,,,,,,,,Average,,Europe,Western Europe,,,Consumption,Household,Person,Household eq,All,All,All,EU,OECD,1980-1989,Consumption,Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1991,0.386355,High income: OECD,834733,765930,23.9,Luxembourg Income Study (LIS) 2016,4.49,5.82,6.72,7.83,8.46,9.79,10.72,11.96,14.24,19.98,10.31,14.55,18.25,22.68,34.22,2.01,11.68,New 2017,High,,Europe,Western Europe,Luxembourg Franc (historic),Year,"Income, net",Household,Person,"Household eq, sqrt (not adult eq)",All,All,All,EU,OECD,1990-1999,"Income, disposable",Other,All,All,All,Household,Person,1377.54041021061,605.960021972656,556.010009765625
Luxembourg,LUX,LU,1994,0.402431,High income: OECD,974810,894653,23.5,Luxembourg Income Study (LIS) 2016,4.48,5.93,6.76,7.8,8.63,9.61,10.83,11.99,14.04,19.91,10.41,14.56,18.24,22.82,33.95,1.97,11.44,New 2017,High,,Europe,Western Europe,Luxembourg Franc (historic),Year,"Income, net",Household,Person,"Household eq, sqrt (not adult eq)",All,All,All,EU,OECD,1990-1999,"Income, disposable",Other,All,All,All,Household,Person,1349.63511425506,722.280029296875,662.890014648437
Luxembourg,LUX,LU,1995,0.408148,High income: OECD,22109,18673,29,European Commission 2005,4,5,6,7,8,9,10,12,15,23,9,13,17,22,38,,,,High,European Community Household Panel Survey,Europe,Western Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1996,0.414,High income: OECD,23633,20164,28,European Commission 2005,4,5,6,7,8,9,11,12,15,22,9,13,17,23,37,,,,High,European Community Household Panel Survey,Europe,Western Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1996,0.414,High income: OECD,25074,22253,25.9,OECD StatExtract,,,,,,,,,,,,,,,,,,New 2013,High,Current prices,Europe,Western Europe,,,"Income, net",Household,Person,"Household eq, sqrt",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,1248.98745259102,20.0799999237061,17.8199996948242
Luxembourg,LUX,LU,1997,0.419974,High income: OECD,23219,20571,25,European Commission 2005,4,6,7,8,8,9,11,12,14,21,10,15,17,23,35,,,,High,European Community Household Panel Survey,Europe,Western Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1997,0.419974,High income: OECD,1046103,929617,26.1,Luxembourg Income Study (LIS) 2016,4.05,5.51,6.58,7.6,8.42,9.4,10.54,12.16,14.4,21.35,9.56,14.18,17.82,22.7,35.75,1.74,12.61,New 2017,High,,Europe,Western Europe,Luxembourg Franc (historic),Year,"Income, net",Household,Person,"Household eq, sqrt (not adult eq)",All,All,All,EU,OECD,1990-1999,"Income, disposable",Other,All,All,All,Household,Person,1443.11876167533,724.890014648438,644.169982910156
Luxembourg,LUX,LU,1998,0.42583,High income: OECD,23313,20807,26,European Commission 2005,4,6,7,8,8,9,11,12,14,21,10,15,17,23,35,,,,High,European Community Household Panel Survey,Europe,Western Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,,,
Luxembourg,LUX,LU,1999,0.431264,High income: OECD,24277,21270,27,European Commission 2005,4,5,6,7,8,9,10,12,14,22,9,13,17,22,36,,,,High,European Community Household Panel Survey,Europe,Western Europe,Euros,Year,"Income, net",Household,Person,"Household eq, OECDmod",All,All,All,EU,OECD,1990-1999,"Income, disposable",Household adult equiv,All,All,All,Household,Person,0.938627276,25864.369140625,22660.75
